_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address Zip Code,Parcel Address,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Estimated Total GHG Emissions (kgCO2e)
4550,100130,601723000.0,360 WEST SECOND STREET,360 W Second St,2127.0,360 W Second St,2127.0,,,,,,,,,,,,,,,,,,,
4551,100132,2203328100.0,361 ASSOCIATION,361 Faneuil St,2135.0,361 Faneuil St,2135.0,,,,,,,,,,,,,,,,,,,
2779,100133,602653010.0,370 CONGRESS STREET LLC,368 Congress St,2210.0,368 Congress St,2210.0,,,,,,,,,,,,,,,,,,,
4552,100137,501164000.0,376 BOYLSTON STREET REALTY  LLC,372-378 Boylston St,2116.0,372 378 Boylston St,2116.0,,,,,,,,,,,,,,,,,,,
2780,100141,1807731000.0,38 LYME STREET REALTY LLC,942 Hyde Park Ave,2136.0,942 Hyde Park Av,2136.0,,,,,,,,,,,,,,,,,,,
2781,100142,1807731000.0,38 LYME STREET REALTY LLC,950 Hyde Park Ave,2136.0,942 Hyde Park Av,2136.0,,,,,,,,,,,,,,,,,,,
4553,100144,2202371000.0,388 MARKET STREET LLC,386-388 Market St,2135.0,386 388 Market St,2135.0,,,,,,,,,,,,,,,,,,,
2782,100146,602642060.0,399 CONGRESS LLC,399 Congress St,2210.0,399 Congress St,2210.0,,,,,,,,,,,,,,,,,,,
4554,100147,304736000.0,399 WASHINGTON LLC,395-403 Washington St,2108.0,403 395 Washington St,2108.0,,,,,,,,,,,,,,,,,,,
2783,100149,303830000.0,4 LIBERTY MA LLC,99-107 Water St,2109.0,4 Liberty Sq,2109.0,,,,,,,,,,,,,,,,,,,
2784,100152,801022003.0,40 NEWMARKET SQUARE LLC,40 Newmarket Sq,2118.0,40 Newmarket Sq,2118.0,,,,,,,,,,,,,,,,,,,
2637,100153,2200102000.0,400 SOLDIERS FIELD RD,400 Soldiers Field Rd,2134.0,400 Soldiers Field Rd,2134.0,115712.0,Parking,"Hotel , Heated Swimming Pool , Parking ",,,3571267.6,10231503.0,,,,,,,,,,,,
4555,100154,503638000.0,403 MARLBOROUGH ST CONDO TR,401 Marlborough St,2115.0,401 403 Marlborough St,2115.0,,,,,,,,,,,,,,,,,,,
4556,100158,601153000.0,410 WEST BROADWAY CONDOMINIUM TRUST,410-410A W Broadway,2127.0,410 W Broadway,2127.0,,,,,,,,,,,,,,,,,,,
4557,100159,104196100.0,413-419 BREMEN STREET LLC,355 Bennington St,2128.0,355 Bennington St,2128.0,,,,,,,,,,,,,,,,,,,
4558,100160,501234000.0,419 BOYLSTON STREET REALTY LLC,415-421 Boylston St,2116.0,419 Boylston St,2116.0,,,,,,,,,,,,,,,,,,,
2785,100162,503852000.0,421-423 MARLBOROUGH STREET,421-423 Marlborough St,2115.0,421 423 Marlborough St,2115.0,,,,,,,,,,,,,,,,,,,
4559,100165,600134000.0,43 SILVER STREET LLC,39 A St,2127.0,39 A St,2127.0,,,,,,,,,,,,,,,,,,,
2786,100166,302347000.0,44 PRINCE STREET CONDOMINIUM TRUST,44 Prince St,2113.0,44 Prince St,2113.0,,,,,,,,,,,,,,,,,,,
4560,100167,603470010.0,45 L STREET LLC,45-47 L St,2127.0,45 R L St,2127.0,,,,,,,,,,,,,,,,,,,
4561,100169,2008902000.0,45 SPRING STREET LLC,45 Spring St,2132.0,45 Spring St,2132.0,,,,,,,,,,,,,,,,,,,
4562,100170,503866000.0,451 MARLBOROUGH CONDOMINIUM TRUST,451 Marlborough St,2115.0,451 Marlborough St,2115.0,,,,,,,,,,,,,,,,,,,
2787,100171,801138000.0,46 PPLYMPTON ACQUISITION LLC,61-63 Wareham St,2118.0,61 63 Wareham St,2118.0,,,,,,,,,,,,,,,,,,,
4563,100173,401056000.0,47 HUNTINGTON OWNER LLC,47-51 Huntington Ave,2116.0,47 51 Huntington Av,2116.0,,,,,,,,,,,,,,,,,,,
2788,100174,503899000.0,475 COMMONWEALTH LLC,475 Commonwealth Ave,2215.0,475 Commonwealth Av,2215.0,,,,,,,,,,,,,,,,,,,
2789,100176,503690000.0,486- 488 BEACON STREET,486 Beacon St,2115.0,486 488 Beacon St,2115.0,,,,,,,,,,,,,,,,,,,
2790,100177,700176000.0,488 DOT CONDOMINIUM TRUST,486-490 Dorchester Ave,2127.0,488 Dorchester Av,2127.0,,,,,,,,,,,,,,,,,,,
2791,100179,1400116000.0,50 CEYLON STREET LLC,50-80 Ceylon St,2121.0,50 Ceylon St,2121.0,,,,,,,,,,,,,,,,,,,
4564,100184,600138000.0,51 SILVER STREET LLC,53 Silver St,2127.0,53 Silver St,2127.0,,,,,,,,,,,,,,,,,,,
2792,100185,2003386000.0,5165 WASHINGTON STREET LLC,5165 Washington St,2132.0,5169 Washington St,2132.0,,,,,,,,,,,,,,,,,,,
4565,100187,1302095000.0,54 PLEASANT LLC,54 Pleasant St,2125.0,54 Pleasant St,2125.0,,,,,,,,,,,,,,,,,,,
2793,100194,1301345000.0,554 COLUMBIA ROAD LLC,554-562 Columbia Rd,2125.0,554 562 Columbia Rd,2125.0,,,,,,,,,,,,,,,,,,,
2794,100195,1401292000.0,56-58 BOWDOIN AVENUE LLC,56-58 Bowdoin Ave,2121.0,56 58 Bowdoin Av,2121.0,,,,,,,,,,,,,,,,,,,
2795,100196,504285000.0,56-58 QUEENSBERRY LLC,56 Queensberry St,2215.0,58 56 Queensberry St,2215.0,,,,,,,,,,,,,,,,,,,
2796,100197,504285000.0,56-58 QUEENSBERRY LLC,58-56 Queensberry St,2215.0,58 56 Queensberry St,2215.0,,,,,,,,,,,,,,,,,,,
4566,100198,1102704000.0,58 TO 76 STONLEY ROAD LLC,76 Stonley Rd,2130.0,76 Stonley Rd,2130.0,,,,,,,,,,,,,,,,,,,
4567,100201,504294000.0,60 KILMARNOCK (BOSTON) OWNER LLC,59  75 Queensberry St,2215.0,59 75 Queensberry St,2215.0,,,,,,,,,,,,,,,,,,,
4568,100202,504302000.0,60 KILMARNOCK (BOSTON) OWNER LLC,60 Kilmarnock St,2215.0,60 Kilmarnock St,2215.0,,,,,,,,,,,,,,,,,,,
2797,100203,602678701.0,601 CONGRESS MA LLC  LESSEE,601 Congress St,2210.0,601 Congress St,2210.0,,,,,,,,,,,,,,,,,,,
2798,100205,100440010.0,605 CHELSEA LLC,605 Chelsea St,2128.0,605 Chelsea St,2128.0,,,,,,,,,,,,,,,,,,,
4569,100208,603612000.0,621  EAST FIRST  STREET,621 E First St,2127.0,621 E First St,2127.0,,,,,,,,,,,,,,,,,,,
4570,100209,601166156.0,63 MELCHER STREET LLC,63 Melcher St,2127.0,63 Melcher St,2127.0,,,,,,,,,,,,,,,,,,,
4571,100210,603901000.0,64 G STREET REVOCABLE TRUST,933 E Second St,2127.0,933 E Second St,2127.0,,,,,,,,,,,,,,,,,,,
2799,100211,501413000.0,66 BEACON STREET HOLDINGS  LLC,65-66H Beacon St,2108.0,65 66H Beacon St,2108.0,,,,,,,,,,,,,,,,,,,
83,100212,602750035.0,7 CC 73 OWNER LLC,7 Channel Center St,2127.0,7 Channel Center St,2127.0,30798.0,Other,Other ,,,,,,,,,,,,,,,,
4572,100214,103859000.0,70 BREMEN DEVELOPMENT,70 Bremen St,2128.0,70 Bremen St,2128.0,,,,,,,,,,,,,,,,,,,
4573,100215,1901392000.0,702 CENTRE STREET LLC,704-718 Centre St,2130.0,702 B718A Centre St,2130.0,,,,,,,,,,,,,,,,,,,
4574,100219,503202000.0,711 BOYLSTON STREET REALTY LLC,705-711 Boylston St,2116.0,33 Exeter St,2116.0,,,,,,,,,,,,,,,,,,,
2800,100220,402600000.0,715-725 TREMONT STREET CONDOMINIUM TRUST,725-743 Tremont St,2118.0,725 Tremont St,2118.0,,,,,,,,,,,,,,,,,,,
2801,100222,402600002.0,715-725 TREMONT STREET CONDOMINIUM TRUST,715  725 Tremont St,2118.0,715 725 Tremont St,2118.0,,,,,,,,,,,,,,,,,,,
2802,100223,402660000.0,715-725 TREMONT STREET CONDOMINIUM TRUST,705-723 Tremont St,2118.0,715 Tremont St,2118.0,,,,,,,,,,,,,,,,,,,
2803,100226,1602618000.0,74 LAWLEY STREET LLC,74 Lawley St,2122.0,74 Lawley St,2122.0,,,,,,,,,,,,,,,,,,,
2804,100234,401037800.0,776 - 778 BOYLSTON PRIMARY,772-778 Boylston St,2116.0,772 778 Boylston St,2116.0,,,,,,,,,,,,,,,,,,,
2805,100237,602674003.0,8 SEAFOOD WAY LLC - SUB LESSEE,8 Seafood Wy,2210.0,8 Seafood Wy,2210.0,,,,,,,,,,,,,,,,,,,
2806,100239,604409000.0,804  EAST 7TH  STREET LLC,804 E Seventh St,2127.0,804 E Seventh St,2127.0,,,,,,,,,,,,,,,,,,,
2807,100240,1401983000.0,820-828 BLUE HILL AVENUE  REALTY TRUST,820-828 Blue Hill Ave,2124.0,820 828 Blue Hill Av,2124.0,,,,,,,,,,,,,,,,,,,
2808,100241,401716000.0,84  FENWAY  LLC,84 Fenway,2115.0,84 Fenway St,2115.0,,,,,,,,,,,,,,,,,,,
4575,100244,603786000.0,881 EAST SECOND CONDOMINIUM TRUST,881 E Second St,2127.0,881 E Second St,2127.0,,,,,,,,,,,,,,,,,,,
4576,100249,503105000.0,939 BOYLSTON LLC,927-939 Boylston St,2115.0,927 939 Boylston St,2115.0,,,,,,,,,,,,,,,,,,,
4577,100252,801022011.0,960 NEWMARKET LLC,960 Massachusetts Ave,2118.0,960 Massachusetts Av,2118.0,,,,,,,,,,,,,,,,,,,
4578,100258,2205501000.0,A & B REALTY TRUST,320 Washington St,2135.0,312 A324 Washington St,2135.0,,,,,,,,,,,,,,,,,,,
2809,100262,800505000.0,AAA SOUTH BAY LLC,169-171 Norfolk Ave,2119.0,169 171 Norfolk Av,2119.0,,,,,,,,,,,,,,,,,,,
4579,100263,305364100.0,AAC SOUTH STATION PROPERTY,195 Summer St,2110.0,195 Summer St,2110.0,,,,,,,,,,,,,,,,,,,
4580,100264,1811776000.0,AARCH ENTERPRISES LLC,1409 River St,2136.0,1409 River St,2136.0,,,,,,,,,,,,,,,,,,,
2810,100265,501305000.0,ABBEY BOYLSTON LLC,573-575 Boylston St,2116.0,573 575 Boylston St,2116.0,,,,,,,,,,,,,,,,,,,
2811,100266,504311000.0,ABBEY LANDMARK SQUARE LLC,75 Peterborough St,2215.0,75 Peterborough St,2215.0,,,,,,,,,,,,,,,,,,,
4581,100267,401229000.0,ABBEY ST GERMAIN LLC MASS LLC,10 Dalton St,2115.0,67 St Germain St,2115.0,,,,,,,,,,,,,,,,,,,
2812,100269,2009228010.0,ABNOTE USA INC,225-227 Rivermoor St,2132.0,225 Rivermoor St,2132.0,,,,,,,,,,,,,,,,,,,
2813,100270,501306000.0,ABRAHAM-COPLEY SQ,581 Boylston St,2116.0,581 Boylston St,2116.0,,,,,,,,,,,,,,,,,,,
4582,100271,202162090.0,ABRON JOSEPH TRST,18 Bunker Hill Industrial Park,2129.0,414 Rutherford Av,2129.0,,,,,,,,,,,,,,,,,,,
4583,100296,304801010.0,ACTION FOR BOSTON COMMUNITY,21 Temple Pl,2111.0,11 17 Temple Pl,2111.0,,,,,,,,,,,,,,,,,,,
2814,100297,304884000.0,ACTION FOR BOSTON COMMUNITY,178-179 Tremont St,2111.0,178 179 Tremont St,2111.0,,,,,,,,,,,,,,,,,,,
4584,100299,1902803000.0,ADAMS ARBORETUM CONDO TR,1000 Centre St,2130.0,1020 990 Centre St,2130.0,,,,,,,,,,,,,,,,,,,
4585,100300,1902803000.0,ADAMS ARBORETUM CONDO TR,1010 Centre St,2130.0,1020 990 Centre St,2130.0,,,,,,,,,,,,,,,,,,,
4586,100301,1902803000.0,ADAMS ARBORETUM CONDO TR,1020 Centre St,2130.0,1020 990 Centre St,2130.0,,,,,,,,,,,,,,,,,,,
4587,100302,1902803000.0,ADAMS ARBORETUM CONDO TR,990 Centre St,2130.0,1020 990 Centre St,2130.0,,,,,,,,,,,,,,,,,,,
4588,100303,1902803000.0,ADAMS ARBORETUM CONDO TR,998 Centre St,2130.0,1020 990 Centre St,2130.0,,,,,,,,,,,,,,,,,,,
4589,100304,1601774000.0,ADAMS COURT CONDO TR,541-549 Adams St,2122.0,541 549 Adams St,2122.0,,,,,,,,,,,,,,,,,,,
4590,100305,1601774000.0,ADAMS COURT CONDO TR,547 Adams St #1,2122.0,541 549 Adams St,2122.0,,,,,,,,,,,,,,,,,,,
113,100308,401162000.0,ADAMS GEORGE WARDELL ETAL,250 Massachusetts Ave,2115.0,93 105 Falmouth St,2115.0,201900.0,Worship Facility,Worship Facility ,,,,,,,,,,,,,,,,
2815,100309,1602997000.0,ADAMS HOUSE CONDO TR,59-69 Monsignor Patrick J. Lydon Way,2124.0,59 69 Msgr P J Lydon Wy,2124.0,,,,,,,,,,,,,,,,,,,
2816,100310,802190010.0,ADAMS ORCHARD LPS MASS LPS,21-43 Keegan St,2119.0,21 63 Keegan St,2119.0,,,,,,,,,,,,,,,,,,,
2817,100311,802190010.0,ADAMS ORCHARD LPS MASS LPS,45-63 Keegan St,2119.0,21 63 Keegan St,2119.0,,,,,,,,,,,,,,,,,,,
2818,100313,802193010.0,ADAMS ORCHARD LPS MASS LPS,10-28 Adams St,2119.0,10 28 Adams St,2119.0,,,,,,,,,,,,,,,,,,,
2819,100314,802193010.0,ADAMS ORCHARD LPS MASS LPS,121-139 Hampden St,2119.0,10 28 Adams St,2119.0,,,,,,,,,,,,,,,,,,,
2820,100315,802193010.0,ADAMS ORCHARD LPS MASS LPS,10-16 Dubois St,2119.0,10 28 Adams St,2119.0,,,,,,,,,,,,,,,,,,,
2821,100316,802195020.0,ADAMS ORCHARD LPS MASS LPS,25 Ambrose St,2119.0,25 Ambrose St,2119.0,,,,,,,,,,,,,,,,,,,
4591,100318,102101000.0,ADVOCATE HEALTHCARE OF EAST BOSTON LLC,111 Orient Ave,2128.0,111 Orient Av,2128.0,,,,,,,,,,,,,,,,,,,
4592,100319,1202982000.0,AENEAS 2 LLC,4-14 Abbotsford St,2121.0,14 4 Abbotsford St,2121.0,,,,,,,,,,,,,,,,,,,
2822,100321,601175000.0,AFH EPICENTER INC,100 W Second St,2127.0,100 W Second St,2127.0,,,,,,,,,,,,,,,,,,,
2823,100324,2200716000.0,AIMCO WAVERLY LLC,27-33 School St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
2824,100325,2200716000.0,AIMCO WAVERLY LLC,24-32 Lawrence St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
2825,100326,2200716000.0,AIMCO WAVERLY LLC,36-42 School St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
2826,100327,2200716000.0,AIMCO WAVERLY LLC,1-9 Bronsdon St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
2827,100328,2200716000.0,AIMCO WAVERLY LLC,11-21 Bronsdon St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
2828,100329,2200716000.0,AIMCO WAVERLY LLC,16-22 Lawrence St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
2829,100330,2200716000.0,AIMCO WAVERLY LLC,7-19 Lawrence St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
2830,100331,2200716000.0,AIMCO WAVERLY LLC,21-35 Lawrence St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
2831,100332,2200716000.0,AIMCO WAVERLY LLC,10-14 Lawrence St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
2832,100333,2200716000.0,AIMCO WAVERLY LLC,16 Lawrence St,2135.0,27 33 School St,2135.0,,,,,,,,,,,,,,,,,,,
4593,100334,601186000.0,AL SOUTH BOSTON OWNER 1 LLC,18-22 W Third St,2127.0,18 22 W Third St,2127.0,,,,,,,,,,,,,,,,,,,
4594,100335,601191000.0,AL SOUTH BOSTON OWNER 2 LLC,30-40 W Third St,2127.0,30 40 W Third St,2127.0,,,,,,,,,,,,,,,,,,,
2833,100336,602051010.0,ALBANIAN ORTHODOX DIOCESE,523 E Broadway,2127.0,523 E Broadway,2127.0,,,,,,,,,,,,,,,,,,,
2834,100337,801219000.0,ALBANY ASSOCIATES LLC MASS LLC,603 Albany St,2118.0,603 Albany St,2118.0,,,,,,,,,,,,,,,,,,,
4595,100338,801143000.0,ALBANY LLC,531-543 Albany St,2118.0,91 93 Wareham St,2118.0,,,,,,,,,,,,,,,,,,,
4596,100342,1301082000.0,ALEXANDER MAGNOLIA LP MASS LP,12 Alexander St,2125.0,12 Alexander St,2125.0,,,,,,,,,,,,,,,,,,,
4597,100343,700367000.0,ALL SAINTS DEVELOPMENT LLC,200-204 Old Colony Ave,2127.0,200 Old Colony Av,2127.0,,,,,,,,,,,,,,,,,,,
4598,100362,2100662000.0,ALLSTON SQUARE REALTY TRUST,8  2 Harvard Av,2134.0,8 2 Harvard Av,2134.0,,,,,,,,,,,,,,,,,,,
4599,100363,2100675010.0,ALLSTON SQUARE YELLOW BRICK  REALTY TRUST,10 Highgate St,2114.0,334 362 Cambridge St,2114.0,,,,,,,,,,,,,,,,,,,
2835,100364,602876000.0,ALLURE BOSTON LLC A MASS LLC,415 W First St,2127.0,415 W First St,2127.0,,,,,,,,,,,,,,,,,,,
2836,100365,602877000.0,ALLURE BOSTON LLC A MASS LLC,11 Dorchester St,2127.0,11 Dorchester St,2127.0,,,,,,,,,,,,,,,,,,,
4600,100366,2201827000.0,ALP 449 CAMBRIDGE OWNER LLC,449 Cambridge St,2134.0,449 Cambridge St,2134.0,,,,,,,,,,,,,,,,,,,
4601,100367,1801543000.0,ALPINE VILLAGE CONDO TR,25 Alpine St,2136.0,25 Alpine St,2136.0,,,,,,,,,,,,,,,,,,,
4602,100368,1600509010.0,ALSEN MAPES LLC MASS LLC,91 Parkman St,2122.0,40 42 Sturtevant St,2122.0,,,,,,,,,,,,,,,,,,,
2837,100374,2204992000.0,AMERICAN BUDDHIST SHIM,199 Chestnut Hill Ave,2135.0,199 Chestnut Hill Av,2135.0,,,,,,,,,,,,,,,,,,,
2838,100375,1001628000.0,AMERICAN CANCER SOCIETY,125 S Huntington Ave,2199.0,125 S Huntington Av,2199.0,,,,,,,,,,,,,,,,,,,
4603,100378,1901801000.0,AMES OLIVER F TRSTS,6 Eliot St,2130.0,Centre St,2130.0,,,,,,,,,,,,,,,,,,,
5915,"100381, 100379",,,,,,,,,,,,,,,,,,,,,,,,,
5916,"100382, 100383",,,,,,,,,,,,,,,,,,,,,,,,,
132,100389,1101201000.0,AMORY LLC MASS LLC,73 Amory St,2119.0,55 73 Amory St,2119.0,68885.0,Other,Other ,,,,,,,,,,,,,,,,
4604,100394,2009227010.0,AMR REAL ESTATE HOLDINGS II  LLC,151 Rivermoor St,2132.0,151 Rivermoor St,2132.0,,,,,,,,,,,,,,,,,,,
4605,100395,2010643010.0,AMR REAL ESTATE HOLDINGS LLC,1525-1531 Vfw Pkwy,2132.0,1525 1607 Vfw Pw,2132.0,,,,,,,,,,,,,,,,,,,
4606,100396,2010643010.0,AMR REAL ESTATE HOLDINGS LLC,1575 Vfw Pkwy,2132.0,1525 1607 Vfw Pw,2132.0,,,,,,,,,,,,,,,,,,,
4607,100397,2010643010.0,AMR REAL ESTATE HOLDINGS LLC,1605-1607 Vfw Pkwy,2132.0,1525 1607 Vfw Pw,2132.0,,,,,,,,,,,,,,,,,,,
2839,100399,2100636000.0,AND DEVELOPMENT LLC MASS LLC,101-123 Brighton Ave,2134.0,101 123 Brighton Av,2134.0,,,,,,,,,,,,,,,,,,,
4608,100402,700689000.0,ANDREW SQUARE ROWHOUSES,1-15 Rogers St,2127.0,386 376H Dorchester St,2127.0,,,,,,,,,,,,,,,,,,,
4609,100403,700689000.0,ANDREW SQUARE ROWHOUSES,20 Preble St,2127.0,386 376H Dorchester St,2127.0,,,,,,,,,,,,,,,,,,,
2641,100404,2003601001.0,APOSTOLIC EXARCHATE,7 Vfw Pkwy,2132.0,5 15 Vfw Pw,2132.0,38375.0,Worship Facility,Worship Facility ,,,,,,,,,,,,,,,,
4610,100408,500694000.0,APPLETON PLACE CONDO TR,1-3 Appleton St,2116.0,1 3 Appleton St,2116.0,,,,,,,,,,,,,,,,,,,
4611,100409,1902838000.0,APW LLC,3803-3829 Washington St,2131.0,3803 3829 Washington St,2131.0,,,,,,,,,,,,,,,,,,,
