BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,"
Reported Gross Floor Area (Sq Ft)","
Reported Enclosed Parking Area (Sq Ft) ",Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft²),"
Energy Star Score",Total Site Energy Usage (kBtu),"
Natural Gas Usage (kBtu)","
Electricity Usage (kBtu)","
Renewable System Electricity Usage Onsite (kBtu)","
District Hot Water Usage (kBtu)","
District Chilled Water Usage (kBtu)","
District Steam Usage (kBtu)","
Fuel Oil 1 Usage (kBtu)","
Fuel Oil 2 Usage (kBtu)","
Fuel Oil 4 Usage (kBtu)","
Fuel Oil 5 and 6 Usage (kBtu)","
Propane Usage (kBtu)","
Diesel Usage (kBtu)","
Kerosene Usage (kBtu)","
Water Usage Intensity (Gallons/ft²)",Compliance Status,BERDO Report Status,Estimated Total GHG Emissions (kgCO2e),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID ,Notes
100038,0602642100,133 SEAPORT RESIDENTIAL CONDOMINIUM TRUST,133 seaport bl,boston,02210,133 seaport bl,boston,02210,266921.0,,Multifamily Housing,Multifamily Housing ,43.7,92,11666636.6,6938160.7,4728475.8,,,,,,,,,,,,24.36,In Compliance,7 - Accepted by BERDO Team,742508,No,No,No,No,No,No,,
100039,0502721000,133-135 MARLBOROUGH STREET,133 marlborough st,boston,02116,133 135 marlborough st,boston,02116,22214.0,,Multifamily Housing,Multifamily Housing ,69.8,79,1549595.4,1176483.0,373112.4,,,,,,,,,,,,378.91,In Compliance,7 - Accepted by BERDO Team,91996,I`m not sure,No,No,No,No,No,,
100041,1302364050,135 MORRISSEY OWNER LLC,135 william t morrissey blvd,boston,02127,135 wm t morrissey bl,boston,02127,708310.0,,Laboratory,"Office , Laboratory , Parking ",40.1,,28368151.5,8944433.7,19423717.6,,,,,,,,,,,,1.44,In Compliance,7 - Accepted by BERDO Team,2011455,No,No,No,No,No,Yes,,
100045,1000003000,1457 TREMONT STREET LLC,1455-1459 tremont st #,boston,02120,1457 tremont st,boston,02120,38208.0,763,Multifamily Housing,"Multifamily Housing , Bank Branch , Parking ",29.6,100,1130429.2,488000.0,642429.1,,,,,,,,,,,,20.74,In Compliance,7 - Accepted by BERDO Team,76734,No,No,No,No,No,No,,
100046,1000517000,1480 TREMONT REALTY TRUST,1486 tremont st,boston,02120,1486 tremont st,boston,02120,75370.0,,Multifamily Housing,"Multifamily Housing , Parking ",52.8,92,3977636.3,2220251.5,1757384.7,,,,,,,,,,,,28.43,In Compliance,7 - Accepted by BERDO Team,256927,No,No,No,No,No,No,,
100049,0504242000,15-19 QUEENSBERRY STREET LLC,15 queensberry st,boston,02215,15 queensberry st,boston,02215,19110.0,,Multifamily Housing,Multifamily Housing ,50.6,93,966457.8,,273932.4,,,,,,692525.4,,,,,,52.27,In Compliance,7 - Accepted by BERDO Team,73060,I`m not sure,No,No,No,No,No,,
100051,0600074010,150 DORCHESTER AVENUE,150 dorchester ave,boston,02127,150 dorchester av,boston,02127,103803.0,,Multifamily Housing,Multifamily Housing ,53.1,7,5507239.6,2704500.0,2802739.6,,,,,,,,,,,,5005.22,In Compliance,7 - Accepted by BERDO Team,365333,I'm not sure,No,No,No,No,No,,
100054,0800791000,152 HAMPDEN STREET LLC,152 hampden st,boston,02119,152 hampden st,boston,02119,21000.0,,Office,"Bar/Nightclub , Office , Parking ",63.2,,1327146.0,698163.0,628983.1,,,,,,,,,,,,4.20,In Compliance,7 - Accepted by BERDO Team,86832,I`m not sure,No,No,No,No,No,,
100055,0100526000,16 BOARDMAN STREET CONDOMINIUM TRUST,16 boardman st,boston,02128,16 boardman st,boston,02128,19700.0,4580,Multifamily Housing,"Multifamily Housing , Parking ",20.0,,393836.9,,393836.9,,,,,,,,,,,,18.55,In Compliance,7 - Accepted by BERDO Team,31152,No,No,No,No,No,No,,
100056,0600268000,160 WEST BROADWAY,135 athens st,boston,02127,160 w broadway st,boston,02127,24358.0,5560,Multifamily Housing,"Multifamily Housing , Parking ",19.9,,485110.6,270100.0,215010.6,,,,,,,,,,,,1911.60,In Compliance,7 - Accepted by BERDO Team,31352,No,No,No,No,No,No,,
100057,2102015000,16509 CWMA OWNER LLC,1650-1654 commonwealth ave,boston,02135,1650 commonwealth av,boston,02135,38640.0,,Multifamily Housing,Multifamily Housing ,117.9,20,4557120.1,3670000.1,887120.0,,,,,,,,,,,,29.99,In Compliance,7 - Accepted by BERDO Team,265085,I'm not sure,No,No,Yes,No,No,,
100060,0600291000,170 WEST BROADWAY,170 w broadway,boston,02127,170 w broadway,boston,02127,67100.0,13075,Multifamily Housing,"Multifamily Housing , Parking ",51.0,76,3421007.6,2016700.0,1404307.5,,,,,,,,,,,,2366.75,In Compliance,7 - Accepted by BERDO Team,218188,No,No,No,No,No,No,,
100064,1200005000,185 DUDLEY STREET LLC,185 dudley st,boston,02119,185 dudley st,boston,02119,20152.0,,Office,Office ,68.3,38,1375515.9,971600.0,403916.0,,,,,,,,,,,,9.39,In Compliance,7 - Accepted by BERDO Team,83551,I'm not sure,No,No,No,No,No,,
100065,0304176000,185 FRANKLIN STREET,185 franklin st,boston,02110,185 franklin st,boston,02110,813721.0,35945,Office,"Office , Parking ",41.9,87,34071346.7,,20774078.0,,,,13297269.6,,,,,,,,243.92,In Compliance,7 - Accepted by BERDO Team,2526168,No,Yes,No,Yes,No,Yes,,
100066,0801106020,1850  CONDOMINIUM  TRUST,90 wareham st,boston,02118,90 wareham st,boston,02118,70831.0,,Multifamily Housing,Multifamily Housing ,77.5,6,5488444.6,1205899.9,4282544.5,,,,,,,,,,,,27.05,In Compliance,7 - Accepted by BERDO Team,402795,No,No,No,No,No,No,,
100069,0303270000,190 NORTH STREET LLC,5 baker's aly,boston,02113,5 bakers al,boston,02113,43668.0,,Multifamily Housing,Multifamily Housing ,49.9,85,2178461.6,1424436.9,754024.7,,,,,,,,,,,,30.13,In Compliance,7 - Accepted by BERDO Team,135295,I'm not sure,No,No,No,No,No,,
100071,2102480000,1955 COMM AVE LLC,1955 commonwealth ave,boston,02135,1955 commonwealth av,boston,02135,48132.0,,Multifamily Housing,Multifamily Housing ,70.2,73,3381073.4,2262233.8,437906.3,,,,,680933.3,,,,,,,40.96,In Compliance,7 - Accepted by BERDO Team,204834,No,No,No,No,No,No,,
100076,0801023010,1K MASS AVE LLC,1000 massachusetts ave,boston,02118,1000 massachusetts av,boston,02118,31422.0,,Office,Office ,15.4,98,483538.4,,483538.4,,,,,,,,,,,,4.04,In Compliance,7 - Accepted by BERDO Team,38248,I`m not sure,No,No,No,No,No,,
100080,0305348000,201 SOUTH STREET OWNER LLC,195  201 south st,boston,02111,195 201 south st,boston,02111,84581.4,,Office,Office ,46.3,93,3913976.8,2920409.2,993567.6,,,,,,,,,,,,1.44,In Compliance,7 - Accepted by BERDO Team,233694,I'm not sure,No,No,No,No,No,,
100083,0302807000,21 BEACON CONDOMINIUM TRUST,21-23 beacon st,boston,02108,19 23 beacon st,boston,02108,131932.0,,Multifamily Housing,"Multifamily Housing , Office , Other - Restaurant/Bar , Convenience Store without Gas Station ",103.8,46,13694835.6,10684799.7,3010036.0,,,,,,,,,,,,40.04,In Compliance,7 - Accepted by BERDO Team,805564,No,No,No,No,No,No,,
100084,1704098000,2165 DOT AVE LLC,2165 dorchester ave,boston,02124,2165 dorchester av,boston,02124,31200.0,,Multifamily Housing,Multifamily Housing ,67.6,83,2109093.5,,386163.3,,,,,,1722930.1,,,,,,48.99,In Compliance,7 - Accepted by BERDO Team,158404,Yes,No,No,No,No,No,,
100086,1100896020,225 CENTRE STREET CONDOMINIUM TRUST,225 centre st,boston,02119,225 centre st,boston,02119,111325.0,8400,Multifamily Housing,"Multifamily Housing , Parking , Other ",70.3,76,7828343.2,5287177.7,2541165.5,,,,,,,,,,,,36.64,In Compliance,7 - Accepted by BERDO Team,481808,No,No,No,No,No,No,,
100088,1502982000,233 HANCOCK LLC,233 hancock st,boston,02125,233 hancock st,boston,02125,36160.0,,Multifamily Housing,Multifamily Housing ,36.8,48,1330212.6,,1330212.6,,,,,,,,,,,,19.97,In Compliance,7 - Accepted by BERDO Team,105220,Yes,No,No,No,No,No,,
100090,0401400000,24 HAVILAND LLC MASS LLC,24 haviland st,boston,02115,24 haviland st,boston,02115,25030.0,,Multifamily Housing,Multifamily Housing ,73.2,78,1831093.1,1450000.0,381093.1,,,,,,,,,,,,39.97,In Compliance,7 - Accepted by BERDO Team,107154,I`m not sure,No,No,No,No,No,,
100091,2201898000,24-26 HICHBORN STREET LLC,26 hichborn st,boston,02135,26 24 hichborn st,boston,02135,31532.0,8500,Multifamily Housing,,35.9,99,1132994.9,375200.0,757795.0,,,,,,,,,,,,29.65,In Compliance,7 - Accepted by BERDO Team,79868,No,No,No,No,No,No,,
100095,0602674085,25 FID KENNEDY LLC LESSEE,25 fid kennedy dr,boston,02210,25 fid kennedy dr,boston,02210,157000.0,,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,56.6,,8893722.0,5815986.2,3077735.9,,,,,,,,,,,,1.15,In Compliance,7 - Accepted by BERDO Team,552336,No,No,No,No,No,Yes,,
100096,1403317001,250 WOODROW AVENUE LLC,250-258 woodrow ave,boston,02124,258 250 woodrow av,boston,02124,21000.0,,Self-Storage Facility,Self-Storage Facility ,29.7,,623910.2,473126.2,150784.0,,,,,,,,,,,,0.19,In Compliance,7 - Accepted by BERDO Team,37055,No,No,No,No,No,No,,
100097,1001074000,256 HOLDINGS LLC,256 parker hill ave,boston,02120,256 parker hill av,boston,02120,23256.0,,Multifamily Housing,Multifamily Housing ,45.6,89,1060464.7,,656878.2,,,,,403586.5,,,,,,,41.56,In Compliance,7 - Accepted by BERDO Team,81623,No,No,No,No,No,No,,
100101,0602701000,262 SUMMER REALTY ASSOCIATES,262-266 summer st,boston,02210,262 266 summer st,boston,02210,55907.0,2407,Office,"Office , Parking ",55.5,82,3101224.0,327500.0,2773724.0,,,,,,,,,,,,5.21,In Compliance,7 - Accepted by BERDO Team,236795,No,No,No,No,No,No,,
100104,0602697000,280 HOLDINGS LLC,286-290 summer st,boston,02210,290 286 summer st,boston,02210,138350.0,,Office,Office ,44.3,,6131709.2,,3701474.1,,,,,,2430235.1,,,,,,1.98,In Compliance,7 - Accepted by BERDO Team,473134,No,No,No,Yes,No,No,,
100107,0303907000,294 WASHINGTON OWNER LLC,280-306 washington st,boston,02108,280 300 washington st,boston,02108,226530.0,,Office,"Office , Medical Office ",42.7,89,9675064.5,4396800.0,5278265.1,,,,,,,,,,,,5.85,In Compliance,7 - Accepted by BERDO Team,651025,No,No,No,Yes,No,No,,
100108,2102565020,2LIFE KURLAT LLC,28 wallingford rd,boston,02135,28 wallingford rd,boston,02135,187656.0,,Multifamily Housing,Multifamily Housing ,87.6,24,16439513.2,11015201.7,5424312.3,,,,,,,,,,,,49.83,In Compliance,7 - Accepted by BERDO Team,1014080,No,No,No,Yes,No,No,,
100109,2102565010,2LIFE LEVENTHAL LIMITED PARTNERSHIP,40 Wallingford Road,Boston,02135,40 wallingford rd,boston,02135,158387,,Multifamily Housing,Multifamily Housing ,89.8,25,14216843.5,9485371.2,4731471.6,,,,,,,,,,,,46.07,In Compliance,7 - Accepted by BERDO Team,878027,No,No,No,Yes,No,No,27985546,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. 
100110,2102565015,2LIFE UNIN LIMITED PARTNERSHIP,30 wallingford rd,boston,02135,30 wallingford rd,boston,02135,140889.0,,Multifamily Housing,Multifamily Housing ,78.9,86,11115216.0,8875563.9,2239652.2,,,,,,,,,,,,51.69,In Compliance,7 - Accepted by BERDO Team,648538,No,No,No,Yes,No,No,,
100112,0601166060,300 A STREET LLC,288-304 a st,boston,02127,288 304 a st,boston,02127,120231.0,,Office,Office ,59.7,75,7182084.2,3665417.4,3516666.5,,,,,,,,,,,,1.37,In Compliance,7 - Accepted by BERDO Team,472839,Yes,No,No,Yes,No,No,,
100113,0401160000,300 MASS AVE LLC,300 massachusetts ave,Boston,02115,247 huntington av,boston,02115,102863,,Office,Office ,29.5,87,3033169.7,,3033169.7,,,,,,,,,,,,,In Compliance,7 - Accepted by BERDO Team,239924,I'm not sure,No,No,No,No,No,4021806,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. 
100116,0602763010,311 SUMNER AVENUE INC,311-319 summer st,boston,02127,323 329 a st,boston,02127,57865.0,,Office,Office ,55.9,46,3231976.4,1017400.0,2214576.3,,,,,,,,,,,,5.12,In Compliance,7 - Accepted by BERDO Team,229207,Yes,No,No,Yes,No,No,,
100120,0202160000,32 CAMBRIDGE STREET LLC,34 cambridge st,boston,02129,572 rutherford av,boston,02129,141620.0,,Multifamily Housing,"Multifamily Housing , Parking ",34.5,89,4883538.2,1126799.9,3756738.2,,,,,,,,,,,,29.62,In Compliance,7 - Accepted by BERDO Team,357002,No,No,No,Yes,No,No,,
100124,0304721000,333 WASHINGTON STREET,315-333 washington st,boston,02108,315 345 washington st,boston,02108,143954.0,,Other - Mall,Other - Mall ,96.3,,13868466.3,6324926.5,7543539.6,,,,,,,,,,,,40.32,In Compliance,7 - Accepted by BERDO Team,932611,I`m not sure,No,No,No,No,No,,
100127,0306337000,345 HARRISON LLC,335-347 harrison ave,boston,02118,345 harrison av,boston,02118,612131.0,,Multifamily Housing,"Multifamily Housing , Parking , Retail Store ",74.9,32,45823942.3,22475399.4,23249265.6,,,,,,99277.2,,,,,,26.15,In Compliance,7 - Accepted by BERDO Team,3040053,No,No,Yes,Yes,No,Yes,,
100135,0700014000,371 SMILEY DORCHESTER LLC,385 dorchester ave,boston,02127,371 393 dorchester av,boston,02127,149105.0,,Non-Refrigerated Warehouse,"Personal Services Health/Beauty, Dry Cleaning, etc , Food Sales , Office , Non-Refrigerated Warehouse ",45.0,,6714486.3,4960800.2,1753686.1,,,,,,,,,,,,10.16,In Compliance,7 - Accepted by BERDO Team,402185,No,No,No,No,No,No,,
100145,2009180010,391 EAST CENTRAL LLC,1208b vfw pkwy,boston,02132,1208 b vfw pw,boston,02132,37000.0,,Office,Office ,63.8,66,2360686.8,1112700.0,1247986.8,,,,,,,,,,,,908.51,In Compliance,7 - Accepted by BERDO Team,157811,No,No,No,No,No,No,,
100150,0303824000,40 BROAD STREET OWNER INC,36-44 broad st,boston,02109,36 44 broad st,boston,02109,309915.0,,Office,"Restaurant , Office ",39.5,80,12255064.9,,7149248.9,,,,5105816.5,,,,,,,,12.53,In Compliance,7 - Accepted by BERDO Team,904532,No,No,No,Yes,No,No,,
100151,0602757060,40 CHANNEL CENTER STREET BOSTON LLC,239-241 a st,boston,02127,40 channel center st,boston,02127,26400.0,,Office,"Restaurant , Office ",19.3,,509090.4,229172.4,279918.0,,,,,,,,,,,,0.99,In Compliance,7 - Accepted by BERDO Team,34313,No,No,No,No,No,No,,
100155,0401737000,409 HUNTINGTON LLC,409 huntington ave,boston,02115,409 huntington av,boston,02115,39275.0,,Multifamily Housing,Multifamily Housing ,113.6,8,4461709.5,582882.6,829180.8,,,,,3049646.1,,,,,,,65.92,In Compliance,7 - Accepted by BERDO Team,320694,No,No,No,No,No,No,,
100168,0304705000,45 PROVINCE CONDOMINUM,45 province st,boston,02108,27 47 province st,boston,02108,206590.0,69029,Multifamily Housing,"Restaurant , Pre-school/Daycare , Multifamily Housing , Heated Swimming Pool , Parking ",83.4,27,17228678.3,9490269.4,7738409.2,,,,,,,,,,,,33.67,In Compliance,7 - Accepted by BERDO Team,1116136,No,No,No,Yes,No,No,,
100172,0801108000,46 WAREHAM STREET LLC,46-76 wareham st,boston,02118,46 wareham st,boston,02118,56112.0,13540,Multifamily Housing,"Multifamily Housing , Parking ",52.0,62,2915582.7,1208600.0,1706982.7,,,,,,,,,,,,12.50,In Compliance,7 - Accepted by BERDO Team,199211,No,No,No,Yes,No,No,,
100175,0101660001,480 MCCLELLAN LLC,wm f mcclellan hw,boston,02128,wm f mcclellan hw,boston,02128,140980.0,,Distribution Center,"Distribution Center , Office ",51.3,57,7238112.2,2615414.8,4622697.0,,,,,,,,,,,,251.40,In Compliance,7 - Accepted by BERDO Team,504560,Yes,No,No,No,No,No,,
100178,1000036000,49 WORTHINGTON STREET BOSTON LLC,49 worthington st,boston,02120,49 worthington st,boston,02120,26125.0,,Multifamily Housing,Multifamily Housing ,86.7,92,2265411.7,1940565.4,324846.3,,,,,,,,,,,,49.23,In Compliance,7 - Accepted by BERDO Team,128759,No,No,No,No,No,No,,
100180,0602670450,50 LIBERTY LLC,50 liberty dr,boston,02210,50 liberty dr,boston,02210,277621.0,71569,Multifamily Housing,Multifamily Housing ,122.4,,33978762.7,23013334.8,10965427.6,,,,,,,,,,,,28.97,In Compliance,7 - Accepted by BERDO Team,2089604,I`m not sure,No,No,No,No,No,,
100181,0401567000,50 SYMPHONY  LLC,50 symphony rd,boston,02115,50 44 symphony rd,boston,02115,24500.0,4500,Multifamily Housing,"Multifamily Housing , Parking ",39.2,96,961237.5,489504.6,471732.9,,,,,,,,,,,,2020.67,In Compliance,7 - Accepted by BERDO Team,63312,No,No,No,No,No,No,,
100182,0401092000,500 BOYLSTON & 222 BERKELEY,500 boylston st,boston,02116,500 boylston st,boston,02116,761594.0,250368,Office,"Office , Parking , Other ",50.5,75,38445810.6,,38445801.8,,,,,,,,,,,,14.03,In Compliance,7 - Accepted by BERDO Team,3041063,I'm not sure,No,No,Yes,No,No,,
100183,0401096000,500 BOYLSTON & 222 BERKELEY,222 berkeley st,boston,02116,222 berkeley st,boston,02116,551775.0,172800,Office,"Restaurant , Office , Bank Branch , Parking , Fast Food Restaurant , Retail Store ",45.6,79,25145075.5,,25145075.2,,,,,,,,,,,,2.33,In Compliance,7 - Accepted by BERDO Team,1988975,No,No,No,Yes,No,No,,
100186,0303870000,53 STATE PROPERTY LP,43-65 state st,boston,02109,43 65 state st,boston,02109,1223347.0,37922,Office,"Restaurant , Office , Bank Branch , Convenience Store without Gas Station , Parking , Fitness Center/Health Club/Gym ",46.9,86,57343377.3,,40123106.9,,,,17220277.2,,,,,,,,5.40,In Compliance,7 - Accepted by BERDO Team,4200066,No,No,No,Yes,No,Yes,,
100188,0601509010,5514 D STREET 320 BOSTON LLC,320 d st,boston,02127,320 d st,boston,02127,259607.0,,Multifamily Housing,"Multifamily Housing , Parking ",40.6,95,10546875.7,5959499.8,4587376.0,,,,,,,,,,,,21.63,In Compliance,7 - Accepted by BERDO Team,679370,No,No,No,No,No,Yes,,
100189,0601520004,5515 D STREET 339 BOSTON LLC,339 d st,boston,02127,339 d st,boston,02127,41760.0,8400,Multifamily Housing,"Multifamily Housing , Parking ",24.5,100,1021898.2,526800.0,495098.3,,,,,,,,,,,,22.33,In Compliance,7 - Accepted by BERDO Team,67141,No,No,No,No,No,No,,
100190,2202338000,"5521 - 4, 8, 12 ELKO STREET",4-12 elko st,boston,02135,4 12 elko st,boston,02135,36294.0,,Multifamily Housing,Multifamily Housing ,62.4,94,2264668.0,2166224.1,98444.0,,,,,,,,,,,,29.27,In Compliance,7 - Accepted by BERDO Team,122835,No,No,No,No,No,No,,
100192,0701483000,5528-1410 COLUMBIA ROAD  BOSTON LLC,1410 columbia rd,boston,02127,423 435 e eighth st,boston,02127,147560.0,,Multifamily Housing,Multifamily Housing ,59.9,77,8839595.8,5056233.6,3783362.1,,,,,,,,,,,,26.13,In Compliance,7 - Accepted by BERDO Team,567801,No,No,No,Yes,No,No,,
100193,0501221000,5538-12-14 COMMONWEALTH AVENUE BOSTON MA LLC,12-14 commonwealth ave,boston,02116,12 14 commonwealth av,boston,02116,38080.0,,Multifamily Housing,Multifamily Housing ,6.0,100,228552.8,,228552.8,,,,,,,,,,,,1.13,In Compliance,7 - Accepted by BERDO Team,18079,No,No,No,No,No,No,,
