BERDO ID,Tax Parcel ID,Property Owner Name,Building Address ,Building Address City,Building Address Zip Code,Parcel Address ,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),"Renewable System Electricity Usage Onsite (kBtu)
",District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Compliance Status,BERDO Reporting Status,Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA) ,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID,Notes,
102642,0304231000,deka immobilien investment,175 federal st,boston,02110,175 federal st,boston,02110,227365,,Office,"Bank Branch, Data Center, Office",40.4,73,9188564.4,,9188563.8,,,,,,,,,,,,5.57,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
103553,2200530000,harvard college,44 harvard way,boston,02163,60  16 n harvard st,boston,02135,51821,,Residence Hall/Dormitory,Residence Hall/Dormitory,53.2,84,2757871,,1222200.9,,,,1535670,,,,,,,,14.63,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103538,2200530000,harvard college,35 harvard way,boston,02163,60  16 n harvard st,boston,02135,105818,,College/University,College/University,59.2,,6269219.1,,3004829,,,,3264389.9,,,,,,,,14.11,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103562,2200530000,harvard college,45 harvard way,boston,02163,60  16 n harvard st,boston,02135,78375,,College/University,"College/University,Residence Hall/Dormitory",47.6,,3731335.8,,1479445.6,,,,2251890,,,,,,,,14.07,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103546,2200530000,harvard college,670 soldiers field road,boston,02163,60  16 n harvard st,boston,02135,47698,,Residence Hall/Dormitory,Residence Hall/Dormitory,93,58,4435911.9,,1102832.1,,,,3333079.9,,,,,,,,14.45,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103539,2200530000,harvard college,25 harvard way,boston,02163,60  16 n harvard st,boston,02135,157820,,Library,Library,68.1,,10746133.3,,3192403.3,0,,,7553729.9,,,,,,,,16.45,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103542,2200530000,harvard college,66 north harvard street,boston,02163,60  16 n harvard st,boston,02135,6932,,Worship Facility,Worship Facility,95.3,2,660557.6,,218007.6,,,,442550,,,,,,,,13.25,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103552,2200530000,harvard college,34 harvard way,boston,02163,60  16 n harvard st,boston,02135,50796,,Residence Hall/Dormitory,"Office,Residence Hall/Dormitory",84,73,4265298.5,,834648.6,,,,3430650,,,,,,,,14.02,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103544,2200530000,harvard college,80 harvard way,boston,02163,60  16 n harvard st,boston,02135,19627,,Other - Utility,Other - Utility,538.4,,10567308.4,,8643728.8,,,,1923580,,,,,,,,14.05,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103540,2200530000,harvard college,50 harvard way,boston,02163,60  16 n harvard st,boston,02135,16747,,Office,Office,30.5,98,510559.2,,168239.2,,,,342320,,,,,,,,13.72,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103551,2200530000,harvard college,33 harvard way,boston,02163,60  16 n harvard st,boston,02135,26137,,Office,Office,104,27,2718112.3,,1551582.4,,,,1166530,,,,,,,,14.06,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103565,2200530000,harvard college,41 harvard way,boston,02163,60  16 n harvard st,boston,02135,10978,,Single Family Home,Single Family Home,62.6,1,686771.5,558328,128443.5,,,,,,,,,,,,14.64,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103561,2200530000,harvard college,30 harvard way,boston,02163,60  16 n harvard st,boston,02135,5674,,Office,Office,81.5,75,462446,,38876,,,,423570,,,,,,,,12.15,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103559,2200530000,harvard college,20 harvard way,boston,02163,60  16 n harvard st,boston,02135,6067,,Office,Office,29.9,99,181317.7,,55777.7,,,,125540,,,,,,,,15.14,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103550,2200530000,harvard college,24 harvard way,boston,02163,60  16 n harvard st,boston,02135,50956,,Residence Hall/Dormitory,Residence Hall/Dormitory,51.2,82,2609480,,1395630.1,,,,1213850,,,,,,,,13.98,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103545,2200530000,harvard college,660 soldiers field road,boston,02163,60  16 n harvard st,boston,02135,7563,,Office,Office,42.6,93,322161.8,,77351.8,,,,244810,,,,,,,,15.19,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103555,2200530000,harvard college,700 soldiers field road,boston,02163,60  16 n harvard st,boston,02135,49297,,Residence Hall/Dormitory,Residence Hall/Dormitory,45,88,2218763.9,,1088604.1,,,,1130160,,,,,,,,13.98,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103534,2200490000,harvard college,37 harvard way,boston,02163,117 western av,boston,02135,61104,,College/University,College/University,57.8,,3533785.3,,2608155.3,,,,925630,,,,,,,,13.91,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103560,2200530000,harvard college,40 harvard way,boston,02163,60  16 n harvard st,boston,02135,5940,,Office,Office,73.7,81,437806.6,,56666.6,,,,381140,,,,,,,,15.46,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103557,2200530000,harvard college,10 harvard way,boston,02163,60  16 n harvard st,boston,02135,6067,,Office,Office,37.1,93,225271.3,,57891.3,,,,167380,,,,,,,,15.14,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103548,2200530000,harvard college,690 soldiers field road,boston,02163,60  16 n harvard st,boston,02135,9611,,Office,Office,24.2,97,232755.8,,65375.8,,,,167380,,,,,,,,14.34,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103564,2200530000,harvard college,47a harvard way,boston,02163,60  16 n harvard st,boston,02135,107673,,Residence Hall/Dormitory,Residence Hall/Dormitory,37.5,97,4034685.4,,987115.5,,,,3047569.9,,,,,,,,14.72,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103563,2200530000,harvard college,47 harvard way,boston,02163,60  16 n harvard st,boston,02135,18925,,Social/Meeting Hall,Social/Meeting Hall,51.1,,967384.8,,377614.9,,,,589770,,,,,,,,14.57,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103556,2200530000,harvard college,15 harvard way,boston,02163,60  16 n harvard st,boston,02135,117707,,Office,Office,35.3,96,4155060.9,,2060011,0,,,2095050,,,,,,,,15.42,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103549,2200530000,harvard college,14 harvard way,boston,02163,60  16 n harvard st,boston,02135,50786,,Residence Hall/Dormitory,Residence Hall/Dormitory,39.1,95,1984208.7,,770358.6,,,,1213850,,,,,,,,14.02,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103543,2200530000,harvard college,70 north harvard street,boston,02163,60  16 n harvard st,boston,02135,132424,,Other - Recreation,"Data Center,Office,Other - Recreation",92.1,,12195600.6,4198308,5368144,0,,,2629150.1,,,,,,,,3.84,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103558,2200530000,harvard college,710 soldiers field road,boston,02163,60  16 n harvard st,boston,02135,6290,,Office,Office,48,93,301783.9,,134403.9,,,,167380,,,,,,,,14.6,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103533,2200490000,harvard college,117 western ave,boston,02163,117 western av,boston,02135,139437,,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,81.5,,11357486.7,1831434,3072502.9,,,,6453549.8,,,,,,,,14.17,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103541,2200530000,harvard college,60 north harvard street,boston,02163,60  16 n harvard st,boston,02135,27782,,Office,Office,69.4,62,1926946.5,,759326.6,,,,1167620,,,,,,,,14.06,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103547,2200530000,harvard college,680 soldiers field road,boston,02163,60  16 n harvard st,boston,02135,6377,,Office,Office,79.4,90,506123.1,,51643.1,,,,454480,,,,,,,,14.4,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
105179,2201058010,president & fellows,230 western ave,boston,02134,230 western av,boston,02134,52688,,Office,Office,38.4,93,2023155.2,503533,1519622.2,0,,,,,,,,,,,3.74,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
103591,2200447000,harvard real estate,25 travis street,boston,02134,25 travis st,boston,02134,28286,,Office,Office,48,96,1358709.8,923400,435309.8,0,,,,,,,,,,,5.24,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
101778,0304500100,chsp boston ii llc,one avenue de lafayette,boston,02111,chauncy st,boston,02111,462684,,Hotel,"Hotel, Other, Restaurant, Swimming Pool",63.7,84,29495964,8983300,20512664.2,,,,,,,,,,,,20817.66,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
105178,2100005010,president & fellows,199-207 park drive,boston,02215,199  207 park dr,boston,02215,60077,,Multifamily Housing,Multifamily Housing,39.5,100,2373238.2,1632351.4,740886.8,,,,,,,,,,,,12.1,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
105699,0304675000,seventy-3 tremont st realty llc,69-81 tremont st,boston,02108,4 beacon st,boston,02108,303975,70983,Office,"Office,Other - Education,Parking",70.2,73,21352711.4,1656754.9,19695957.7,,,,,,,,,,,,11.69,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
106041,0501296002,t-c 501 boylston street llc,501 boylston st,boston,02116,501 boylston st,boston,02116,682117,44886,Office,"Bank Branch, Office, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Swimming Pool",60.3,88,41098144.3,27508326,13589818.6,,,,,,,,,,,,6.82,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
104809,0302720000,obs reit llc,1 beacon street,boston,02108,1 beacon st,boston,02108,1136283,143392,Office,"Data Center, Office, Parking",55.9,85,63476307.6,536300,32450187.7,,,,30489821,,,,,,,,4.76,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,Yes,,,
105807,0304302010,six95 atlantic avenue co llc mass llc,695 atlantic ave,boston,02111,695 atlantic av,boston,02111,187000,,Office,"Data Center, Office, Other, Restaurant, Swimming Pool",38.6,89,7210692.9,1077400.1,6133291.8,,,,,,,,,,,,4.11,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
103532,2200481000,harvard college,one western ave,boston,02135,1 western av,boston,02135,277254,277254,Parking,Multifamily Housing,64.8,67,15677199.9,,5027739,,,,10649460.2,,,,,,,,24.25,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
104519,0501152000,mt back bay one llc,10 st. james avenue,boston,02116,319 stuart st,boston,02116,567714,158817,Office,"Office, Parking",50.4,74,28634185.3,,28634186.4,,,,,,,,,,,,6.78,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
101337,0401037100,bp prucenter acquisition llc,800 boylston st,boston,02116,800 boylston st,boston,02116,1518646,,Office,"Data Center,Office,Restaurant,Social/Meeting Hall",79.8,82,121121679.5,291090.6,74481776.3,,,,46348809.2,,,,,,,,11.89,in compliance,7 - berdo accepted,No,No,Yes,Yes,No,No,,,
101331,0401037500,bp 111 huntington av lessee,111 huntington ave,boston,02199,111 huntington av,boston,02199,1034179,,Office,"Data Center, Office",65.5,77,67688810.7,195600,39596191.8,,,,27897002.5,,,,,,,,10.9,in compliance,7 - berdo accepted,No,No,Yes,Yes,No,No,,,
101342,0401037101,bp prucenter acquisition llc,101 huntington ave,boston,02199,800 boylston st,boston,02116,585345,245650,Office,"Office, Parking",67.6,81,39568814.1,396725,18471889,,,,20700201.1,,,,,,,,6.11,in compliance,7 - berdo accepted,No,No,Yes,Yes,No,No,,,
102848,2008908000,equity one llc mass llc,75 spring street,boston,02132,21 springvale av,boston,02132,54846,,Supermarket/Grocery Store,,312.3,43,17128226.2,8163199.7,8965026.6,,,,,,,,,,,,35.43,in compliance,7 - berdo accepted,I`m not sure,No,No,No,No,No,,,
101347,0401037400,bp supermarket llc,53 huntington ave,boston,02116,53 huntington av,boston,02116,59527,,Supermarket/Grocery Store,,239.5,70,14258976,4591799.7,9667175.2,,,,,,,,,,,,1.55,in compliance,7 - berdo accepted,No,No,Yes,Yes,No,No,,,
100186,0303870000,53 state property lp,53 state street,boston,02109,43  65 state st,boston,02109,1223347,37922,Office,"Bank Branch, Convenience Store without Gas Station, Fitness Center/Health Club/Gym, Office, Parking, Restaurant",50.4,82,61656032.6,,42729738.4,,,,18926285,,,,,,,,5.1,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
103157,0503134000,gateway longwood inc,855 boylston,boston,02116,855 boylston st,boston,02116,155775,15000,Office,"Bank Branch, Office, Other, Parking",39.3,80,6129345.7,,6129344.1,,,,,,,,,,,,3.78,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
104517,0501151000,mt back bay one llc,75 arlington street,boston,02116,6 st james av,boston,02116,258979,,Office,Office,46.9,85,12148710.4,5454427.5,6694282.6,,,,,,,,,,,,4.88,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
106410,0303821000,two fifty five state st llc,255 state street,boston,02109,237  247 state st,boston,02109,220519,,Office,"Office, Restaurant",77.6,44,17106639.1,3154050.9,13952589.2,,,,,,,,,,,,16.98,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
102387,0602679035,commonwealth flats east,2 seaport lane,boston,02210,2 seaport la,boston,02210,520595,,Office,"Office, Restaurant",64.6,49,33648303,,33648304.6,,,,,,,,,,,,10.13,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
101764,0602635000,childrens museum inc,308 congress street,boston,02110,308  316 congress st,boston,02210,177074,,Office,"Museum, Office",51.6,,9145583.1,2067048.2,7078535.2,,,,,,,,,,,,6.23,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
102651,0304285000,dewey square tower assoc,655 atlantic ave,boston,02111,655 atlantic av,boston,02111,1201443.7,71040,Office,"Fast Food Restaurant, Office, Parking",46,73,55268267.7,,55268258.4,,,,,,,,,,,,4.94,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,Yes,,,
102386,0602677010,commonwealth flats development 121a west lp,155 seaport boulevard,boston,02210,155 seaport bl,boston,02210,605173,,Office,"Adult Education, Fitness Center/Health Club/Gym, Office, Restaurant, Retail Store",68.2,,41260558.4,1512011.2,39748537.6,,,,,,,,,,,,10.62,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
103028,0304075000,fort hill sq 1 owner llc,one international place,boston,02110,55  93 purchase st,boston,02110,1081207,250000,Office,"Data Center, Office, Other - Mall, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant",56.7,76,61345301.9,,61345303.4,,,,,,,,,,,,9.06,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,Yes,,,
102310,0304597000,clpf-101 arch lp,93-101 arch st,boston,02108,101  93 arch st,boston,02108,473896,23242,Office,"Fast Food Restaurant, Office, Parking, Restaurant",45.8,74,21685596.9,105788.3,21579808.2,,,,,,,,,,,,4.71,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
100653,2100067000,beth israel hospital assoc,95-99 brookline ave,boston,02215,95 brookline av,boston,02215,114681,,Laboratory,Laboratory,221.7,,25427948.1,9660708,15626687,,,,,,140553,,,,,,31.78,in compliance,7 - berdo accepted,No,No,Yes,Yes,No,No,,,
100093,0305364005,245 summer street llc,245 summer street,boston,02210,245 summer st,boston,02210,906422,,Office,"Data Center, Financial Office, Office, Restaurant",76.7,86,69545726.9,13937549.2,54643418.8,,,,,,964758.1,,,,,,9.23,in compliance,7 - berdo accepted,No,No,No,Yes,Yes,No,,,
103592,2200578000,harvard real estate,1380 soldiers field road,boston,02135,1380 soldiers field rd,boston,02135,76962,0,Office,"Medical Office,Office,Parking",55.7,83,4289839.2,1563483.9,2726355.2,,,,,,,,,,,,3.08,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
102311,0303833000,clpf-one liberty square llc,1 liberty sq,boston,02109,1 liberty sq,boston,02109,173600,,Office,Office,32.9,84,5710406,,5710405.1,,,,,,,,,,,,2.23,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
103029,0304060010,fort hill square ii owner llc,two international place,boston,02110,90 oliver st,boston,02110,850497,130000,Office,"Bank Branch, Data Center, Fitness Center/Health Club/Gym, Office, Other - Mall, Parking, Repair Services (Vehicle, Shoe, Locksmith, etc), Restaurant",61.7,78,52446744.6,,52446739.1,,,,,,,,,,,,5.64,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
106089,0303840000,terra firma-33 broad llc,33 broad street,boston,02109,33 broad st,boston,02109,40933,,Office,"Food Service, Office, Self-Storage Facility",121.2,9,4959113.8,3525449.3,1433664.4,,,,,,,,,,,,8.27,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
101322,0501298000,boylston ll llc,543-547 boylston st,boston,02116,543 a547 boylston st,boston,02116,97790,,Office,"Office, Restaurant",77.9,62,7616279.9,,4403629.6,,,,3212650.4,,,,,,,,12.8,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
101420,0305340010,brickman lincoln llc,182-192 lincoln st,boston,02111,182  192 lincoln st,boston,02111,74160,,Office,Office,44.3,86,3286170.2,127005.1,1312048.8,,,,,,1847116.2,,,,,,2.64,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,
103338,0301510000,gpt properties trust,251 causeway street,boston,02114,27  33 medford st,boston,02114,150097,,Office,"Data Center,Medical Office,Office",40.9,89,6135249,422424.1,5712824.2,,,,,,,,,,,,3.63,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
106042,0304643020,t-c arch st llc,33 arch street,boston,02110,33 arch st,boston,02108,626359,400000,Office,"Office, Parking",47.8,75,29954417.4,,29954418.9,,,,,,,,,,,,6.05,in compliance,7 - berdo accepted,No,No,No,No,No,Yes,,,
104362,0501241000,mbb real estate llc,38-44 newbury street,boston,02116,38  44 newbury st,boston,02116,44310,,Office,"Office, Retail Store",41.6,86,1841729.1,,905715.4,,,,936013.7,,,,,,,,8.99,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,
104711,0401712000,northeastern university,96 the fenway,boston,02115,96 fenway st,boston,02115,23600,,Residence Hall/Dormitory,Residence Hall/Dormitory,,,,,,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,4021806,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
104712,0401714000,northeastern university,90 the fenway,boston,02115,90 fenway st,boston,02115,30455,,Residence Hall/Dormitory,Residence Hall/Dormitory,,,,,,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,4021806,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,
103088,0501185000,four seasons place,200/220 boylston street,boston,02116,220  200 boylston st,boston,02116,798170,89000,Hotel,"Hotel, Multifamily Housing, Parking, Swimming Pool",51.8,92,41306540.8,1603049.6,26652960.8,,,,13050528.9,,,,,,,,15.02,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
100629,0501153000,berkeley/st james,175 berkeley st.,boston,02116,30 st james av,boston,02116,522349,0,Office,"Office, Parking, Restaurant",40.3,89,21051310.7,8534600.1,12516710.5,,,,,,,,,,,,3.93,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
100150,0303824000,40 broad street owner inc,40 broad st.,boston,02109,36  44 broad st,boston,02109,309915,,Office,"Office, Restaurant",35.8,83,11103104.2,,6726887.7,,,,4376215.7,,,,,,,,0.92,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
100652,0401964001,beth israel deaconess medical center inc,110 francis st,boston,02215,110 francis st,boston,02215,99634,0,Parking,"Medical Office,Parking",216.9,,21605920.8,,7508474.5,,,,14052042.8,,,,,,45402,,7.21,in compliance,7 - berdo accepted,No,No,Yes,Yes,No,No,,,
100232,0304199000,75-101 fed owner llc,75-101 federal street,boston,02110,101 federal st,boston,02110,888478,50863,Office,"Bank Branch, Data Center, Office, Parking",36.4,92,32379836.1,20700,29783600.5,,,,2575534,,,,,,,,11.01,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,
101321,0501297000,boylston ll llc,535-541 boylston st,boston,02116,535  541 boylston st,boston,02116,104036,,Office,Office,69.2,66,7200412.3,90192.9,3857487.8,,,,3252732.2,,,,,,,,6.16,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,
103620,0504210010,hegarty david j,1295 boylston st,boston,02215,1295  1299 boylston st,boston,02115,102752,25338,Office,"Data Center,Office,Parking,Retail Store",192.1,14,19736877.4,5656886.9,14068675.7,,,,,,,,,,11316,,2.08,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,
